scheme_code,scheme_name_x, nav_date, nav,normalized_name_x,matched_name,matched_scheme_name,Scheme Code,ISIN Div Payout/ ISIN Growth,ISIN Div Reinvestment,scheme_name_y,Net Asset Value,Date,normalized_name_y
47304,360 ONE ELSS Tax Saver Nifty 50 Index Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,13.653,360oneelsstaxsavernifty50indexfundgdirectplan,360oneelsstaxsavernifty50indexfunddirectplangrowth,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - Growth,151165.0,INF579M01AN2,-,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - Growth,13.653,22-Jul-24,360oneelsstaxsavernifty50indexfunddirectplangrowth
47305,360 ONE ELSS Tax Saver Nifty 50 Index Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,13.653,360oneelsstaxsavernifty50indexfundidcwdirectplan,360oneelsstaxsavernifty50indexfunddirectplangrowth,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - Growth,151165.0,INF579M01AN2,-,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - Growth,13.653,22-Jul-24,360oneelsstaxsavernifty50indexfunddirectplangrowth
47302,360 ONE ELSS Tax Saver Nifty 50 Index Fund-Reg(G),7/22/2024 12:00:00 AM,13.5996,360oneelsstaxsavernifty50indexfundregg,360oneelsstaxsavernifty50indexfundregularplangrowth,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Regular Plan - Growth,151164.0,INF579M01AL6,-,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Regular Plan - Growth,13.5996,22-Jul-24,360oneelsstaxsavernifty50indexfundregularplangrowth
47303,360 ONE ELSS Tax Saver Nifty 50 Index Fund-Reg(IDCW),7/22/2024 12:00:00 AM,13.5996,360oneelsstaxsavernifty50indexfundregidcw,360oneelsstaxsavernifty50indexfundregularplanidcwpayout,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Regular Plan - IDCW Payout,151167.0,INF579M01AM4,-,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Regular Plan - IDCW Payout,13.5996,22-Jul-24,360oneelsstaxsavernifty50indexfundregularplanidcwpayout
48000,360 ONE Flexicap Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,15.2682,360oneflexicapfundgdirectplan,360oneflexicapfunddirectplanidcw,360 ONE FLEXICAP FUND-DIRECT PLAN- IDCW,151798.0,INF579M01AT9,INF579M01AU7,360 ONE FLEXICAP FUND-DIRECT PLAN- IDCW,15.2682,22-Jul-24,360oneflexicapfunddirectplanidcw
48087,360 ONE Flexicap Fund(IDCW Payout)-Direct Plan,7/22/2024 12:00:00 AM,15.2682,360oneflexicapfundidcwpayoutdirectplan,360oneflexicapfunddirectplanidcw,360 ONE FLEXICAP FUND-DIRECT PLAN- IDCW,151798.0,INF579M01AT9,INF579M01AU7,360 ONE FLEXICAP FUND-DIRECT PLAN- IDCW,15.2682,22-Jul-24,360oneflexicapfunddirectplanidcw
48001,360 ONE Flexicap Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,15.2682,360oneflexicapfundidcwdirectplan,360oneflexicapfunddirectplanidcw,360 ONE FLEXICAP FUND-DIRECT PLAN- IDCW,151798.0,INF579M01AT9,INF579M01AU7,360 ONE FLEXICAP FUND-DIRECT PLAN- IDCW,15.2682,22-Jul-24,360oneflexicapfunddirectplanidcw
47567,360 ONE Flexicap Fund-Reg(G),7/22/2024 12:00:00 AM,15.0129,360oneflexicapfundregg,,,,,,,,,
48066,360 ONE Flexicap Fund-Reg(IDCW Payout),7/22/2024 12:00:00 AM,15.0129,360oneflexicapfundregidcwpayout,,,,,,,,,
47999,360 ONE Flexicap Fund-Reg(IDCW),7/22/2024 12:00:00 AM,15.0129,360oneflexicapfundregidcw,360oneflexicapfundregularplanidcw,360 ONE FLEXICAP FUND-REGULAR PLAN- IDCW,151797.0,INF579M01AQ5,INF579M01AR3,360 ONE FLEXICAP FUND-REGULAR PLAN- IDCW,15.0129,22-Jul-24,360oneflexicapfundregularplanidcw
30926,360 ONE Focused Equity Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,53.8757,360onefocusedequityfundgdirectplan,360onefocusedequityfunddirectplangrowth,360 ONE Focused Equity Fund-Direct Plan-Growth,131580.0,INF579M01902,-,360 ONE Focused Equity Fund-Direct Plan-Growth,53.8757,22-Jul-24,360onefocusedequityfunddirectplangrowth
30927,360 ONE Focused Equity Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,53.3262,360onefocusedequityfundidcwdirectplan,360onefocusedequityfunddirectplangrowth,360 ONE Focused Equity Fund-Direct Plan-Growth,131580.0,INF579M01902,-,360 ONE Focused Equity Fund-Direct Plan-Growth,53.8757,22-Jul-24,360onefocusedequityfunddirectplangrowth
35638,360 ONE Focused Equity Fund(IDCW-Reinv)-Direct Plan,7/22/2024 12:00:00 AM,53.3262,360onefocusedequityfundidcwreinvdirectplan,360onefocusedequityfunddirectplangrowth,360 ONE Focused Equity Fund-Direct Plan-Growth,131580.0,INF579M01902,-,360 ONE Focused Equity Fund-Direct Plan-Growth,53.8757,22-Jul-24,360onefocusedequityfunddirectplangrowth
30046,360 ONE Focused Equity Fund-Reg(G),7/22/2024 12:00:00 AM,47.9914,360onefocusedequityfundregg,360onefocusedequityfundregularplangrowth,360 ONE Focused Equity Fund -Regular Plan - Growth,131578.0,INF579M01878,-,360 ONE Focused Equity Fund -Regular Plan - Growth,47.9914,22-Jul-24,360onefocusedequityfundregularplangrowth
30925,360 ONE Focused Equity Fund-Reg(IDCW),7/22/2024 12:00:00 AM,42.4625,360onefocusedequityfundregidcw,,,,,,,,,
36848,360 ONE Focused Equity Fund-Reg(IDCW-Reinv),7/22/2024 12:00:00 AM,42.4625,360onefocusedequityfundregidcwreinv,,,,,,,,,
24677,360 ONE Liquid Fund(DD-IDCW)-Direct Plan,7/22/2024 12:00:00 AM,1000.1261,360oneliquidfundddidcwdirectplan,360oneliquidfunddirectplangrowth,360 ONE LIQUID FUND DIRECT PLAN  GROWTH,125345.0,INF579M01621,-,360 ONE LIQUID FUND DIRECT PLAN  GROWTH,1897.4799,22-Jul-24,360oneliquidfunddirectplangrowth
24676,360 ONE Liquid Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,1897.4799,360oneliquidfundgdirectplan,360oneliquidfunddirectplangrowth,360 ONE LIQUID FUND DIRECT PLAN  GROWTH,125345.0,INF579M01621,-,360 ONE LIQUID FUND DIRECT PLAN  GROWTH,1897.4799,22-Jul-24,360oneliquidfunddirectplangrowth
43650,360 ONE Liquid Fund(W-IDCW Reinv)-Direct Plan,7/22/2024 12:00:00 AM,1006.1489,360oneliquidfundwidcwreinvdirectplan,,,,,,,,,
24822,360 ONE Liquid Fund(W-IDCW)-Direct Plan,7/22/2024 12:00:00 AM,1006.1489,360oneliquidfundwidcwdirectplan,360oneliquidfunddirectplangrowth,360 ONE LIQUID FUND DIRECT PLAN  GROWTH,125345.0,INF579M01621,-,360 ONE LIQUID FUND DIRECT PLAN  GROWTH,1897.4799,22-Jul-24,360oneliquidfunddirectplangrowth
15690,360 ONE Liquid Fund-Reg(DD-IDCW),7/22/2024 12:00:00 AM,1000.1261,360oneliquidfundregddidcw,,,,,,,,,
15687,360 ONE Liquid Fund-Reg(G),7/22/2024 12:00:00 AM,1887.3347,360oneliquidfundregg,,,,,,,,,
37782,360 ONE Liquid Fund-Reg(W-IDCW Reinv),7/22/2024 12:00:00 AM,1006.1352,360oneliquidfundregwidcwreinv,,,,,,,,,
24814,360 ONE Liquid Fund-Reg(W-IDCW),7/22/2024 12:00:00 AM,1006.1352,360oneliquidfundregwidcw,,,,,,,,,
46017,360 ONE Quant Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,19.7754,360onequantfundgdirectplan,,,,,,,,,
46060,360 ONE Quant Fund(IDCW Payout)-Direct Plan,7/22/2024 12:00:00 AM,19.7754,360onequantfundidcwpayoutdirectplan,,,,,,,,,
46018,360 ONE Quant Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,19.7754,360onequantfundidcwdirectplan,,,,,,,,,
46015,360 ONE Quant Fund-Reg(G),7/22/2024 12:00:00 AM,19.1677,360onequantfundregg,360onequantfundregulargrowth,360 ONE QUANT FUND REGULAR GROWTH,149317.0,INF579M01AF8,-,360 ONE QUANT FUND REGULAR GROWTH,19.1677,22-Jul-24,360onequantfundregulargrowth
46059,360 ONE Quant Fund-Reg(IDCW Payout),7/22/2024 12:00:00 AM,19.1677,360onequantfundregidcwpayout,,,,,,,,,
46016,360 ONE Quant Fund-Reg(IDCW),7/22/2024 12:00:00 AM,19.1677,360onequantfundregidcw,,,,,,,,,
2277,Aditya Birla SL Active Debt Multi-Mgr FoF(G),7/22/2024 12:00:00 AM,34.6772,adityabirlaslactivedebtmultimgrfofg,,,,,,,,,
19178,Aditya Birla SL Active Debt Multi-Mgr FoF(G)-Direct Plan,7/22/2024 12:00:00 AM,36.5367,adityabirlaslactivedebtmultimgrfofgdirectplan,,,,,,,,,
36681,Aditya Birla SL Active Debt Multi-Mgr FoF(IDCW),7/22/2024 12:00:00 AM,21.7471,adityabirlaslactivedebtmultimgrfofidcw,,,,,,,,,
35473,Aditya Birla SL Active Debt Multi-Mgr FoF(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,22.8785,adityabirlaslactivedebtmultimgrfofidcwdirectplan,,,,,,,,,
2276,Aditya Birla SL Active Debt Multi-Mgr FoF(IDCW-Payout),7/22/2024 12:00:00 AM,21.7471,adityabirlaslactivedebtmultimgrfofidcwpayout,,,,,,,,,
19177,Aditya Birla SL Active Debt Multi-Mgr FoF(IDCW-Payout)-Direct Plan,7/22/2024 12:00:00 AM,22.8785,adityabirlaslactivedebtmultimgrfofidcwpayoutdirectplan,,,,,,,,,
7889,Aditya Birla SL Arbitrage Fund(G),7/22/2024 12:00:00 AM,24.9538,adityabirlaslarbitragefundg,,,,,,,,,
18242,Aditya Birla SL Arbitrage Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,26.7147,adityabirlaslarbitragefundgdirectplan,adityabirlasunlifearbitragefundgrowthdirectplan,Aditya Birla Sun Life Arbitrage Fund - Growth - Direct Plan,119526.0,INF209K01VP1,-,Aditya Birla Sun Life Arbitrage Fund - Growth - Direct Plan,26.7147,22-Jul-24,adityabirlasunlifearbitragefundgrowthdirectplan
7890,Aditya Birla SL Arbitrage Fund(IDCW),7/22/2024 12:00:00 AM,11.2077,adityabirlaslarbitragefundidcw,adityabirlasunlifearbitragefunddirectidcw,Aditya Birla Sun Life Arbitrage Fund-DIRECT - IDCW,119525.0,INF209K01P80,INF209K01VQ9,Aditya Birla Sun Life Arbitrage Fund-DIRECT - IDCW,11.4849,22-Jul-24,adityabirlasunlifearbitragefunddirectidcw
19912,Aditya Birla SL Arbitrage Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,11.4849,adityabirlaslarbitragefundidcwdirectplan,adityabirlasunlifearbitragefundgrowthdirectplan,Aditya Birla Sun Life Arbitrage Fund - Growth - Direct Plan,119526.0,INF209K01VP1,-,Aditya Birla Sun Life Arbitrage Fund - Growth - Direct Plan,26.7147,22-Jul-24,adityabirlasunlifearbitragefundgrowthdirectplan
36683,Aditya Birla SL Arbitrage Fund(IDCW-Reinv),7/22/2024 12:00:00 AM,11.2077,adityabirlaslarbitragefundidcwreinv,,,,,,,,,
35430,Aditya Birla SL Arbitrage Fund(IDCW-Reinv)-Direct Plan,7/22/2024 12:00:00 AM,11.4849,adityabirlaslarbitragefundidcwreinvdirectplan,adityabirlasunlifearbitragefundgrowthdirectplan,Aditya Birla Sun Life Arbitrage Fund - Growth - Direct Plan,119526.0,INF209K01VP1,-,Aditya Birla Sun Life Arbitrage Fund - Growth - Direct Plan,26.7147,22-Jul-24,adityabirlasunlifearbitragefundgrowthdirectplan
2279,Aditya Birla SL Asset Allocator FoF(G),7/22/2024 12:00:00 AM,62.8328,adityabirlaslassetallocatorfofg,adityabirlasunlifeassetallocatorfofregularidcw,Aditya Birla Sun Life Asset Allocator FoF-REGULAR - IDCW,131863.0,INF084M01AF9,INF084M01AG7,Aditya Birla Sun Life Asset Allocator FoF-REGULAR - IDCW,57.86,22-Jul-24,adityabirlasunlifeassetallocatorfofregularidcw
31301,Aditya Birla SL Asset Allocator FoF(G)-Direct Plan,7/22/2024 12:00:00 AM,32.8322,adityabirlaslassetallocatorfofgdirectplan,adityabirlasunlifeassetallocatorfofdirectidcw,Aditya Birla Sun Life Asset Allocator FoF-DIRECT - IDCW,131866.0,INF084M01DN7,INF084M01DO5,Aditya Birla Sun Life Asset Allocator FoF-DIRECT - IDCW,31.2857,22-Jul-24,adityabirlasunlifeassetallocatorfofdirectidcw
40706,Aditya Birla SL Asset Allocator FoF(IDCW),7/22/2024 12:00:00 AM,57.86,adityabirlaslassetallocatorfofidcw,adityabirlasunlifeassetallocatorfofdirectidcw,Aditya Birla Sun Life Asset Allocator FoF-DIRECT - IDCW,131866.0,INF084M01DN7,INF084M01DO5,Aditya Birla Sun Life Asset Allocator FoF-DIRECT - IDCW,31.2857,22-Jul-24,adityabirlasunlifeassetallocatorfofdirectidcw
35471,Aditya Birla SL Asset Allocator FoF(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,31.2857,adityabirlaslassetallocatorfofidcwdirectplan,adityabirlasunlifeassetallocatorfofdirectidcw,Aditya Birla Sun Life Asset Allocator FoF-DIRECT - IDCW,131866.0,INF084M01DN7,INF084M01DO5,Aditya Birla Sun Life Asset Allocator FoF-DIRECT - IDCW,31.2857,22-Jul-24,adityabirlasunlifeassetallocatorfofdirectidcw
2278,Aditya Birla SL Asset Allocator FoF(IDCW-Payout),7/22/2024 12:00:00 AM,57.86,adityabirlaslassetallocatorfofidcwpayout,adityabirlasunlifeassetallocatorfofdirectidcw,Aditya Birla Sun Life Asset Allocator FoF-DIRECT - IDCW,131866.0,INF084M01DN7,INF084M01DO5,Aditya Birla Sun Life Asset Allocator FoF-DIRECT - IDCW,31.2857,22-Jul-24,adityabirlasunlifeassetallocatorfofdirectidcw
32037,Aditya Birla SL Asset Allocator FoF(IDCW-Payout)-Direct Plan,7/22/2024 12:00:00 AM,31.2857,adityabirlaslassetallocatorfofidcwpayoutdirectplan,,,,,,,,,
42385,Aditya Birla SL Bal Bhavishya Yojna(G)-Direct Plan,7/22/2024 12:00:00 AM,21.72,adityabirlaslbalbhavishyayojnagdirectplan,adityabirlasunlifebalbhavishyayojnadirectidcw,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA- Direct - IDCW,146408.0,INF209KB1F18,INF209KB1F26,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA- Direct - IDCW,21.71,22-Jul-24,adityabirlasunlifebalbhavishyayojnadirectidcw
42386,Aditya Birla SL Bal Bhavishya Yojna(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,21.71,adityabirlaslbalbhavishyayojnaidcwdirectplan,adityabirlasunlifebalbhavishyayojnadirectidcw,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA- Direct - IDCW,146408.0,INF209KB1F18,INF209KB1F26,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA- Direct - IDCW,21.71,22-Jul-24,adityabirlasunlifebalbhavishyayojnadirectidcw
43446,Aditya Birla SL Bal Bhavishya Yojna(IDCW-Reinv)-Direct Plan,7/22/2024 12:00:00 AM,21.71,adityabirlaslbalbhavishyayojnaidcwreinvdirectplan,,,,,,,,,
41375,Aditya Birla SL Bal Bhavishya Yojna-Reg(G),7/22/2024 12:00:00 AM,19.75,adityabirlaslbalbhavishyayojnaregg,adityabirlasunlifebalbhavishyayojnaregulargrowth,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA REGULAR GROWTH,146409.0,INF209KB1E76,-,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA REGULAR GROWTH,19.75,22-Jul-24,adityabirlasunlifebalbhavishyayojnaregulargrowth
42384,Aditya Birla SL Bal Bhavishya Yojna-Reg(IDCW),7/22/2024 12:00:00 AM,19.76,adityabirlaslbalbhavishyayojnaregidcw,adityabirlasunlifebalbhavishyayojnaregularidcw,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA- Regular - IDCW,146405.0,INF209KB1E92,INF209KB1F00,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA- Regular - IDCW,19.76,22-Jul-24,adityabirlasunlifebalbhavishyayojnaregularidcw
43445,Aditya Birla SL Bal Bhavishya Yojna-Reg(IDCW-Reinv),7/22/2024 12:00:00 AM,19.76,adityabirlaslbalbhavishyayojnaregidcwreinv,adityabirlasunlifebalbhavishyayojnaregularidcw,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA- Regular - IDCW,146405.0,INF209KB1E92,INF209KB1F00,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA- Regular - IDCW,19.76,22-Jul-24,adityabirlasunlifebalbhavishyayojnaregularidcw
1713,Aditya Birla SL Balanced Advantage Fund(G),7/22/2024 12:00:00 AM,99.63,adityabirlaslbalancedadvantagefundg,adityabirlasunlifebalancedadvantagefundregularidcw,Aditya Birla Sun Life Balanced Advantage Fund -REGULAR - IDCW,131665.0,INF084M01AC6,INF084M01AD4,Aditya Birla Sun Life Balanced Advantage Fund -REGULAR - IDCW,26.78,22-Jul-24,adityabirlasunlifebalancedadvantagefundregularidcw
18578,Aditya Birla SL Balanced Advantage Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,111.88,adityabirlaslbalancedadvantagefundgdirectplan,adityabirlasunlifebalancedadvantagefunddirectidcw,Aditya Birla Sun Life Balanced Advantage Fund -DIRECT - IDCW,131671.0,INF084M01DK3,INF084M01DL1,Aditya Birla Sun Life Balanced Advantage Fund -DIRECT - IDCW,30.12,22-Jul-24,adityabirlasunlifebalancedadvantagefunddirectidcw
36643,Aditya Birla SL Balanced Advantage Fund(IDCW),7/22/2024 12:00:00 AM,26.78,adityabirlaslbalancedadvantagefundidcw,adityabirlasunlifebalancedadvantagefunddirectidcw,Aditya Birla Sun Life Balanced Advantage Fund -DIRECT - IDCW,131671.0,INF084M01DK3,INF084M01DL1,Aditya Birla Sun Life Balanced Advantage Fund -DIRECT - IDCW,30.12,22-Jul-24,adityabirlasunlifebalancedadvantagefunddirectidcw
18577,Aditya Birla SL Balanced Advantage Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,30.12,adityabirlaslbalancedadvantagefundidcwdirectplan,adityabirlasunlifebalancedadvantagefunddirectidcw,Aditya Birla Sun Life Balanced Advantage Fund -DIRECT - IDCW,131671.0,INF084M01DK3,INF084M01DL1,Aditya Birla Sun Life Balanced Advantage Fund -DIRECT - IDCW,30.12,22-Jul-24,adityabirlasunlifebalancedadvantagefunddirectidcw
1712,Aditya Birla SL Balanced Advantage Fund(IDCW-Payout),7/22/2024 12:00:00 AM,26.78,adityabirlaslbalancedadvantagefundidcwpayout,adityabirlasunlifebalancedadvantagefunddirectidcw,Aditya Birla Sun Life Balanced Advantage Fund -DIRECT - IDCW,131671.0,INF084M01DK3,INF084M01DL1,Aditya Birla Sun Life Balanced Advantage Fund -DIRECT - IDCW,30.12,22-Jul-24,adityabirlasunlifebalancedadvantagefunddirectidcw
36706,Aditya Birla SL Balanced Advantage Fund(IDCW-Payout)-Direct Plan,7/22/2024 12:00:00 AM,30.12,adityabirlaslbalancedadvantagefundidcwpayoutdirectplan,,,,,,,,,
24888,Aditya Birla SL Banking & Financial Services Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,62.72,adityabirlaslbankingfinancialservicesfundgdirectplan,adityabirlasunlifebankingandfinancialservicesfunddirectplangrowth,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,125597.0,INF209K014W1,-,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,62.72,22-Jul-24,adityabirlasunlifebankingandfinancialservicesfunddirectplangrowth
24889,Aditya Birla SL Banking & Financial Services Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,31.76,adityabirlaslbankingfinancialservicesfundidcwdirectplan,adityabirlasunlifebankingandfinancialservicesfunddirectplangrowth,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,125597.0,INF209K014W1,-,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,62.72,22-Jul-24,adityabirlasunlifebankingandfinancialservicesfunddirectplangrowth
35419,Aditya Birla SL Banking & Financial Services Fund(IDCW-Reinv)-Direct Plan,7/22/2024 12:00:00 AM,31.76,adityabirlaslbankingfinancialservicesfundidcwreinvdirectplan,adityabirlasunlifebankingandfinancialservicesfunddirectplangrowth,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,125597.0,INF209K014W1,-,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,62.72,22-Jul-24,adityabirlasunlifebankingandfinancialservicesfunddirectplangrowth
24150,Aditya Birla SL Banking & Financial Services Fund-Reg(G),7/22/2024 12:00:00 AM,56.43,adityabirlaslbankingfinancialservicesfundregg,adityabirlasunlifebankingandfinancialservicesfundregularidcw,Aditya Birla Sun Life Banking and Financial Services Fund - REGULAR - IDCW,125596.0,INF209K010W9,INF209K012W5,Aditya Birla Sun Life Banking and Financial Services Fund - REGULAR - IDCW,23.71,22-Jul-24,adityabirlasunlifebankingandfinancialservicesfundregularidcw
24887,Aditya Birla SL Banking & Financial Services Fund-Reg(IDCW),7/22/2024 12:00:00 AM,23.71,adityabirlaslbankingfinancialservicesfundregidcw,adityabirlasunlifebankingandfinancialservicesfundregularidcw,Aditya Birla Sun Life Banking and Financial Services Fund - REGULAR - IDCW,125596.0,INF209K010W9,INF209K012W5,Aditya Birla Sun Life Banking and Financial Services Fund - REGULAR - IDCW,23.71,22-Jul-24,adityabirlasunlifebankingandfinancialservicesfundregularidcw
29298,Aditya Birla SL Banking & Financial Services Fund-Reg(IDCW-Reinv),7/22/2024 12:00:00 AM,23.71,adityabirlaslbankingfinancialservicesfundregidcwreinv,adityabirlasunlifebankingandfinancialservicesfundregularidcw,Aditya Birla Sun Life Banking and Financial Services Fund - REGULAR - IDCW,125596.0,INF209K010W9,INF209K012W5,Aditya Birla Sun Life Banking and Financial Services Fund - REGULAR - IDCW,23.71,22-Jul-24,adityabirlasunlifebankingandfinancialservicesfundregularidcw
5183,Aditya Birla SL Banking & PSU Debt(G),7/22/2024 12:00:00 AM,339.352,adityabirlaslbankingpsudebtg,,,,,,,,,
