Scheme Code,ISIN Div Payout/ ISIN Growth,ISIN Div Reinvestment,scheme_name,Net Asset Value,Date
128627,INF179KA1JD2,INF179KA1JE0,HDFC Banking and PSU Debt Fund - IDCW Option,10.1588,22-Jul-24
128626,INF179KA1JA8,INF179KA1JB6,HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan,10.0493,22-Jul-24
151108,-,INF917K01HL7,HSBC Banking and PSU Debt Fund - Direct Daily IDCW,11.1907,22-Jul-24
151107,INF917K01HH5,-,HSBC Banking and PSU Debt Fund - Direct Growth,23.6213,22-Jul-24
151106,INF917K01HJ1,INF917K01HI3,HSBC Banking and PSU Debt Fund - Direct Monthly IDCW,11.2685,22-Jul-24
151109,-,INF917K01HK9,HSBC Banking and PSU Debt Fund - Direct Weekly IDCW,10.357,22-Jul-24
151102,-,INF677K01AF4,HSBC Banking and PSU Debt Fund - Regular Daily IDCW,11.116,22-Jul-24
151104,INF677K01AE7,-,HSBC Banking and PSU Debt Fund - Regular Growth,22.5055,22-Jul-24
151105,INF677K01AI8,INF677K01AJ6,HSBC Banking and PSU Debt Fund - Regular Monthly IDCW,10.6332,22-Jul-24
151103,-,INF917K01HM5,HSBC Banking and PSU Debt Fund - Regular Weekly IDCW,10.3293,22-Jul-24
112343,INF109K01WS5,INF109K01RV9,ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW,10.0549,16-Sep-22
112344,INF109K01WR7,INF109K01RU1,ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW,10.2427,16-Sep-22
130897,INF109KA1B57,-,ICICI Prudential Banking and PSU Debt Fund - Bonus,15.8889,24-Apr-20
120257,INF109K01Z89,INF109K01Z97,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW,10.2538,16-Sep-22
120256,INF109K010A6,-,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth,31.5305,22-Jul-24
120258,INF109K011A4,INF109K012A2,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW,12.7457,22-Jul-24
120255,INF109K013A0,INF109K014A8,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW,10.3708,16-Sep-22
130950,INF109KA1B40,-,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus,13.8665,10-Apr-18
131148,INF109KA1M96,INF109KA1M88,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option,13.1098,16-Sep-22
112342,INF109K01RT3,-,ICICI Prudential Banking and PSU Debt Fund - Growth,30.3475,22-Jul-24
116174,INF109K01YE1,INF109K01YD3,ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW,10.8013,22-Jul-24
131147,INF109KA1M70,INF109KA1M62,ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option,12.9261,16-Sep-22
113247,INF109K01WW7,INF109K01JM5,ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend,10.0122,24-Apr-20
113242,INF109K01II5,-,ICICI Prudential Banking and PSU Debt Fund Retail Growth,21.631,24-Apr-20
113243,INF109K01WV9,INF109K01IJ3,ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend,10.3305,20-Aug-15
118234,-,INF205K01JX8,Invesco India Banking and PSU Fund - Daily IDCW (Reinvestment),1011.3627,22-Jul-24
120444,INF205K01KT4,-,Invesco India Banking and PSU Fund - Direct Plan -  Growth Option,2236.9365,22-Jul-24
120443,-,INF205K01KS6,Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment),1032.2756,22-Jul-24
120445,INF205K01KU2,INF205K01KV0,Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),1016.778,22-Jul-24
118232,INF205K01JV2,-,Invesco India Banking and PSU Fund - Growth Option,2096.7783,22-Jul-24
118233,INF205K01JW0,INF205K01JY6,Invesco India Banking and PSU Fund - Monthly IDCW (Payout / Reinvestment),1037.0462,22-Jul-24
148534,INF00XX01861,-,ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,12.3764,22-Jul-24
148536,INF00XX01879,INF00XX01887,ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option,12.3764,22-Jul-24
148535,INF00XX01838,-,ITI Banking & PSU Debt Fund - Regular Plan - Growth Option,12.1242,22-Jul-24
148533,INF00XX01846,INF00XX01853,ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option,12.1242,22-Jul-24
123688,INF174K01FS4,INF174K01FR6,Kotak Banking and PSU Debt - Annual Dividend,16.1842,15-Sep-17
123858,-,INF174K01SD9,Kotak Banking and PSU Debt - Daily Dividend Reinvestment,10.188,15-Sep-17
123859,INF174K01SE7,-,Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment,10.2604,15-Sep-17
123690,INF174K01FO3,-,Kotak Banking and PSU Debt - Growth,60.4846,22-Jul-24
123691,INF174K01FQ8,INF174K01FP0,Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option,11.3636,22-Jul-24
123689,INF174K01KI5,INF174K01KJ3,Kotak Banking and PSU Debt Direct - Annual Dividend,17.1427,15-Sep-17
123693,INF174K01KH7,-,Kotak Banking and PSU Debt Direct - Growth,62.8059,22-Jul-24
123692,INF174K01KK1,-,Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option,10.2767,22-Jul-24
120337,INF767K01GJ2,INF767K01GM6,LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW,13.9771,22-Jul-24
120338,INF767K01GI4,-,LIC MF Banking & PSU Fund-Direct Plan-Growth,34.5463,22-Jul-24
120339,INF767K01GK0,INF767K01GN4,LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW,13.0106,22-Jul-24
120336,INF767K01GL8,INF767K01GO2,LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW,10.0617,22-Jul-24
105822,INF767K01519,INF767K01527,LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW,10.9189,22-Jul-24
105823,INF767K01535,-,LIC MF Banking & PSU Fund-Regular Plan-Growth,32.1836,22-Jul-24
105856,INF767K01543,INF767K01550,LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW,12.0451,22-Jul-24
105857,INF767K01568,INF767K01576,LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW,10.0744,22-Jul-24
148419,INF769K01FY9,-,Mirae Asset Banking and PSU Fund - Direct Plan - Growth,12.2272,22-Jul-24
148417,INF769K01FX1,INF769K01FZ6,Mirae Asset Banking and PSU Fund - Direct Plan - IDCW,12.2245,22-Jul-24
148416,INF769K01FV5,-,Mirae Asset Banking and PSU Fund - Regular Plan - Growth,12.0122,22-Jul-24
148418,INF769K01FU7,INF769K01FW3,Mirae Asset Banking and PSU Fund - Regular plan - IDCW,12.0132,22-Jul-24
134552,INF204KA1U61,-,Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option,19.8567,22-Jul-24
134547,INF204KA1U53,-,Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option,19.8561,22-Jul-24
134546,INF204KA1T64,-,Nippon India Banking  & PSU Debt Fund- Growth Plan- Bonus Option,12.3452,02-Feb-18
134545,INF204KA1T56,-,Nippon India Banking  & PSU Debt Fund- Growth Plan- Growth Option,19.2033,22-Jul-24
134555,INF204KA1U79,INF204KA1U87,NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option,19.8561,22-Jul-24
134550,INF204KA1V37,INF204KA1V45,NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option,10.6946,22-Jul-24
134556,INF204KA1U95,INF204KA1V03,NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option,10.8096,22-Jul-24
134554,INF204KA1V11,INF204KA1V29,NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option,10.2881,22-Jul-24
134548,INF204KA1T72,INF204KA1T80,NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option,19.2033,22-Jul-24
134549,INF204KA1U38,INF204KA1U46,NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option,10.6291,22-Jul-24
134551,INF204KA1T98,INF204KA1U04,NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option,10.7533,22-Jul-24
134553,INF204KA1U12,INF204KA1U20,NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option,10.2884,22-Jul-24
125502,-,INF200K01V16,SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1345.0953,22-Jul-24
125503,INF200K01V08,-,SBI BANKING & PSU FUND - Direct Plan - Growth,3053.7526,22-Jul-24
125505,INF200K01V40,INF200K01V57,SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),1258.5979,22-Jul-24
125504,INF200K01V32,INF200K01V24,SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1342.1051,22-Jul-24
125498,INF200K01U41,-,SBI BANKING & PSU FUND - Regular Paln - Growth,2885.3073,22-Jul-24
125499,-,INF200K01U58,SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1316.3572,22-Jul-24
125501,INF200K01U82,INF200K01U90,SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),1188.6389,22-Jul-24
125500,INF200K01U74,INF200K01U66,SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1316.0773,22-Jul-24
134363,INF903J017I5,-,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth,11.7065,17-Mar-17
134370,INF903J012J4,INF903J013J2,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend,11.4008,17-Mar-17
134369,INF903J019I1,INF903J014J0,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend,10.6356,31-Mar-16
134355,INF903J016I7,-,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus,11.6319,17-Feb-17
134358,-,INF903J010I0,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment,11.6582,17-Mar-17
134356,INF903J016H9,-,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth,11.6493,17-Mar-17
134359,INF903J018H5,INF903J012I6,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend,11.1411,17-Mar-17
134361,INF903J014I2,-,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus,11.1681,16-Aug-16
134362,INF903J019H3,INF903J013I4,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend,11.0236,17-Mar-17
134360,INF903J017H7,INF903J011I8,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend,10.1418,17-Mar-17
119629,INF903J01RI4,-,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus,20.156,22-Jul-24
119627,-,INF903J01PC1,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),10.23,28-Jun-24
119625,INF903J01PA5,-,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth,40.2904,22-Jul-24
119626,INF903J01PB3,INF903J01PE7,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),11.5198,22-Jul-24
118326,INF903J01LY4,-,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus,20.0592,22-Jul-24
100782,-,INF903J01IP8,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),10.355,28-Jun-24
100784,INF903J01IN3,-,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth,39.7785,22-Jul-24
100793,INF903J01IO1,INF903J01IR4,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),11.5725,22-Jul-24
100783,-,INF903J01IQ6,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),12.1035,28-Jun-24
100781,INF903J01IK9,-,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth,35.6206,28-Jun-24
100780,INF903J01IL7,INF903J01IM5,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),11.4908,28-Jun-24
148656,INF0GCD01107,-,TRUSTMF BANKING & PSU FUND - DIRECT GROWTH,1198.4786,22-Jul-24
148655,INF0GCD01016,-,TRUSTMF BANKING & PSU FUND - REGULAR GROWTH,1177.8665,22-Jul-24
148672,INF0GCD01180,INF0GCD01172,TRUSTMF BANKING & PSU FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION,1085.3331,22-Jul-24
148678,-,INF0GCD01115,TRUSTMF BANKING & PSU FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1202.3184,22-Jul-24
148681,INF0GCD01149,INF0GCD01131,TRUSTMF BANKING & PSU FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION,1082.5124,22-Jul-24
148670,INF0GCD01164,INF0GCD01156,TRUSTMF BANKING & PSU FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1099.9286,22-Jul-24
148675,-,INF0GCD01123,TRUSTMF BANKING & PSU FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1066.8329,22-Jul-24
148669,INF0GCD01099,INF0GCD01081,TRUSTMF BANKING & PSU FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1065.4952,22-Jul-24
148667,-,INF0GCD01024,TRUSTMF BANKING & PSU FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1157.8328,22-Jul-24
148674,INF0GCD01057,INF0GCD01040,TRUSTMF BANKING & PSU FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1068.8939,22-Jul-24
148668,INF0GCD01073,INF0GCD01065,TRUSTMF BANKING & PSU FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1081.4638,22-Jul-24
148679,-,INF0GCD01032,TRUSTMF BANKING & PSU FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1055.4892,22-Jul-24
140135,INF789FA1V03,INF789FA1V11,UTI Banking & PSU Fund - Direct Plan - Annual IDCW,12.6637,22-Jul-24
133972,INF789FA1V29,INF789FA1V37,UTI Banking & PSU Fund - Direct Plan - Flexi IDCW,17.7717,22-Jul-24
126940,INF789F015Z6,-,UTI Banking & PSU Fund - Direct Plan - Growth Option,20.6234,22-Jul-24
141375,INF789FA1U87,INF789FA1U95,UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW,13.6851,22-Jul-24
134026,INF789FC1HE1,INF789FC1HF8,UTI Banking & PSU Fund - Direct Plan - Monthly IDCW,12.9771,22-Jul-24
126942,INF789F016Z4,INF789F017Z2,UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW,15.3497,22-Jul-24
140116,INF789FA1U46,INF789FA1U53,UTI Banking & PSU Fund - Regular Plan - Annual IDCW,12.4624,22-Jul-24
133971,INF789FA1U61,INF789FA1U79,UTI Banking & PSU Fund - Regular Plan - Flexi IDCW,13.6224,22-Jul-24
139407,INF789FA1U20,INF789FA1U38,UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW,13.5655,22-Jul-24
136110,INF789FC1HC5,INF789FC1HD3,UTI Banking & PSU Fund - Regular Plan - Monthly IDCW,12.7945,22-Jul-24
126941,INF789F012Z3,INF789F013Z1,UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW,13.9404,22-Jul-24
126939,INF789F014Z9,-,UTI Banking & PSU Fund- Regular Plan - Growth Option,20.3138,22-Jul-24
119533,INF209K01S38,-,Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan,105.8049,22-Jul-24
103178,INF209K01785,-,Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan,104.2152,22-Jul-24
124832,INF209KA1KT0,-,Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW,10.425,22-Jul-24
119532,INF209K01N90,INF209KA1KU8,Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW,12.5632,22-Jul-24
