scheme_code, scheme_code, nav_date, nav
24822,360 ONE Liquid Fund(W-IDCW)-Direct Plan,7/22/2024 12:00:00 AM,1006.1489
15690,360 ONE Liquid Fund-Reg(DD-IDCW),7/22/2024 12:00:00 AM,1000.1261
15687,360 ONE Liquid Fund-Reg(G),7/22/2024 12:00:00 AM,1887.3347
37782,360 ONE Liquid Fund-Reg(W-IDCW Reinv),7/22/2024 12:00:00 AM,1006.1352
24814,360 ONE Liquid Fund-Reg(W-IDCW),7/22/2024 12:00:00 AM,1006.1352
46017,360 ONE Quant Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,19.7754
46060,360 ONE Quant Fund(IDCW Payout)-Direct Plan,7/22/2024 12:00:00 AM,19.7754
46018,360 ONE Quant Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,19.7754
46015,360 ONE Quant Fund-Reg(G),7/22/2024 12:00:00 AM,19.1677
46059,360 ONE Quant Fund-Reg(IDCW Payout),7/22/2024 12:00:00 AM,19.1677
46016,360 ONE Quant Fund-Reg(IDCW),7/22/2024 12:00:00 AM,19.1677
2277,Aditya Birla SL Active Debt Multi-Mgr FoF(G),7/22/2024 12:00:00 AM,34.6772
19178,Aditya Birla SL Active Debt Multi-Mgr FoF(G)-Direct Plan,7/22/2024 12:00:00 AM,36.5367
36681,Aditya Birla SL Active Debt Multi-Mgr FoF(IDCW),7/22/2024 12:00:00 AM,21.7471
35473,Aditya Birla SL Active Debt Multi-Mgr FoF(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,22.8785
2276,Aditya Birla SL Active Debt Multi-Mgr FoF(IDCW-Payout),7/22/2024 12:00:00 AM,21.7471
19177,Aditya Birla SL Active Debt Multi-Mgr FoF(IDCW-Payout)-Direct Plan,7/22/2024 12:00:00 AM,22.8785
7889,Aditya Birla SL Arbitrage Fund(G),7/22/2024 12:00:00 AM,24.9538
18242,Aditya Birla SL Arbitrage Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,26.7147
7890,Aditya Birla SL Arbitrage Fund(IDCW),7/22/2024 12:00:00 AM,11.2077
19912,Aditya Birla SL Arbitrage Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,11.4849
36683,Aditya Birla SL Arbitrage Fund(IDCW-Reinv),7/22/2024 12:00:00 AM,11.2077
35430,Aditya Birla SL Arbitrage Fund(IDCW-Reinv)-Direct Plan,7/22/2024 12:00:00 AM,11.4849
2279,Aditya Birla SL Asset Allocator FoF(G),7/22/2024 12:00:00 AM,62.8328
31301,Aditya Birla SL Asset Allocator FoF(G)-Direct Plan,7/22/2024 12:00:00 AM,32.8322
40706,Aditya Birla SL Asset Allocator FoF(IDCW),7/22/2024 12:00:00 AM,57.86
35471,Aditya Birla SL Asset Allocator FoF(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,31.2857
2278,Aditya Birla SL Asset Allocator FoF(IDCW-Payout),7/22/2024 12:00:00 AM,57.86
32037,Aditya Birla SL Asset Allocator FoF(IDCW-Payout)-Direct Plan,7/22/2024 12:00:00 AM,31.2857
42385,Aditya Birla SL Bal Bhavishya Yojna(G)-Direct Plan,7/22/2024 12:00:00 AM,21.72
42386,Aditya Birla SL Bal Bhavishya Yojna(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,21.71
43446,Aditya Birla SL Bal Bhavishya Yojna(IDCW-Reinv)-Direct Plan,7/22/2024 12:00:00 AM,21.71
41375,Aditya Birla SL Bal Bhavishya Yojna-Reg(G),7/22/2024 12:00:00 AM,19.75
42384,Aditya Birla SL Bal Bhavishya Yojna-Reg(IDCW),7/22/2024 12:00:00 AM,19.76
43445,Aditya Birla SL Bal Bhavishya Yojna-Reg(IDCW-Reinv),7/22/2024 12:00:00 AM,19.76
1713,Aditya Birla SL Balanced Advantage Fund(G),7/22/2024 12:00:00 AM,99.63
18578,Aditya Birla SL Balanced Advantage Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,111.88
36643,Aditya Birla SL Balanced Advantage Fund(IDCW),7/22/2024 12:00:00 AM,26.78
18577,Aditya Birla SL Balanced Advantage Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,30.12
1712,Aditya Birla SL Balanced Advantage Fund(IDCW-Payout),7/22/2024 12:00:00 AM,26.78
36706,Aditya Birla SL Balanced Advantage Fund(IDCW-Payout)-Direct Plan,7/22/2024 12:00:00 AM,30.12
24888,Aditya Birla SL Banking & Financial Services Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,62.72
24889,Aditya Birla SL Banking & Financial Services Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,31.76
35419,Aditya Birla SL Banking & Financial Services Fund(IDCW-Reinv)-Direct Plan,7/22/2024 12:00:00 AM,31.76
24150,Aditya Birla SL Banking & Financial Services Fund-Reg(G),7/22/2024 12:00:00 AM,56.43
24887,Aditya Birla SL Banking & Financial Services Fund-Reg(IDCW),7/22/2024 12:00:00 AM,23.71
29298,Aditya Birla SL Banking & Financial Services Fund-Reg(IDCW-Reinv),7/22/2024 12:00:00 AM,23.71
5183,Aditya Birla SL Banking & PSU Debt(G),7/22/2024 12:00:00 AM,339.352
18304,Aditya Birla SL Banking & PSU Debt(G)-Direct Plan,7/22/2024 12:00:00 AM,351.0826
5184,Aditya Birla SL Banking & PSU Debt(IDCW),7/22/2024 12:00:00 AM,148.2879
18303,Aditya Birla SL Banking & PSU Debt(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,105.223
43447,Aditya Birla SL Banking & PSU Debt(IDCW-Reinv),7/22/2024 12:00:00 AM,148.2879
43448,Aditya Birla SL Banking & PSU Debt(IDCW-Reinv)-Direct Plan,7/22/2024 12:00:00 AM,105.223
6827,Aditya Birla SL Banking & PSU Debt(M-IDCW),7/22/2024 12:00:00 AM,111.3925
18302,Aditya Birla SL Banking & PSU Debt(M-IDCW)-Direct Plan,7/22/2024 12:00:00 AM,115.1816
5185,Aditya Birla SL Banking & PSU Debt(Q-IDCW),7/22/2024 12:00:00 AM,102.3214
18305,Aditya Birla SL Banking & PSU Debt(Q-IDCW)-Direct Plan,7/22/2024 12:00:00 AM,105.6514
484,Aditya Birla SL Banking & PSU Debt-Ret(G),7/22/2024 12:00:00 AM,509.4131
7050,Aditya Birla SL Banking & PSU Debt-Ret(M-IDCW),7/22/2024 12:00:00 AM,111.1731
483,Aditya Birla SL Banking & PSU Debt-Ret(Q-IDCW),7/22/2024 12:00:00 AM,105.1317
35815,Aditya Birla SL BSE Sensex ETF,7/22/2024 12:00:00 AM,79.3516
46012,Aditya Birla SL Business Cycle Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,15.5
46013,Aditya Birla SL Business Cycle Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,15.5
45733,Aditya Birla SL Business Cycle Fund-Reg(G),7/22/2024 12:00:00 AM,14.92
46011,Aditya Birla SL Business Cycle Fund-Reg(IDCW),7/22/2024 12:00:00 AM,14.92
453,Aditya Birla SL Corp Bond Fund(G),7/22/2024 12:00:00 AM,104.2152
18294,Aditya Birla SL Corp Bond Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,105.8049
24174,Aditya Birla SL Corp Bond Fund(IDCW),7/22/2024 12:00:00 AM,11.7308
24215,Aditya Birla SL Corp Bond Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,10.425
43449,Aditya Birla SL Corp Bond Fund(IDCW-Reinv),7/22/2024 12:00:00 AM,11.7308
34468,Aditya Birla SL Corp Bond Fund(M-IDCW Reinv),7/22/2024 12:00:00 AM,12.3911
35426,Aditya Birla SL Corp Bond Fund(M-IDCW Reinv)-Direct Plan,7/22/2024 12:00:00 AM,12.5632
454,Aditya Birla SL Corp Bond Fund(M-IDCW),7/22/2024 12:00:00 AM,12.3911
18295,Aditya Birla SL Corp Bond Fund(M-IDCW)-Direct Plan,7/22/2024 12:00:00 AM,12.5632
32541,Aditya Birla SL Credit Risk Fund(B)-Direct Plan,7/22/2024 12:00:00 AM,20.9554
32539,Aditya Birla SL Credit Risk Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,20.9563
32540,Aditya Birla SL Credit Risk Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,12.4798
35427,Aditya Birla SL Credit Risk Fund(IDCW-Reinv)-Direct Plan,7/22/2024 12:00:00 AM,12.4798
29571,Aditya Birla SL Credit Risk Fund-Reg(G),7/22/2024 12:00:00 AM,19.2809
32537,Aditya Birla SL Credit Risk Fund-Reg(IDCW),7/22/2024 12:00:00 AM,11.4678
36682,Aditya Birla SL Credit Risk Fund-Reg(IDCW-Reinv),7/22/2024 12:00:00 AM,11.4678
48976,Aditya Birla SL CRISIL Broad Based Gilt ETF,7/22/2024 12:00:00 AM,100.5772
46961,Aditya Birla SL CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,11.5222
46962,Aditya Birla SL CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,11.5219
46897,Aditya Birla SL CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund-Reg(G),7/22/2024 12:00:00 AM,11.4902
46960,Aditya Birla SL CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund-Reg(IDCW),7/22/2024 12:00:00 AM,11.4912
46565,Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU - Apr 2025 Index Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,11.3233
46566,Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU - Apr 2025 Index Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,11.3241
46226,Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU - Apr 2025 Index Fund-Reg(G),7/22/2024 12:00:00 AM,11.2855
46564,Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU - Apr 2025 Index Fund-Reg(IDCW),7/22/2024 12:00:00 AM,11.2855
46568,Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU - Apr 2027 Index Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,11.3472
46569,Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU - Apr 2027 Index Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,11.349
46227,Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU - Apr 2027 Index Fund-Reg(G),7/22/2024 12:00:00 AM,11.2947
46567,Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU - Apr 2027 Index Fund-Reg(IDCW),7/22/2024 12:00:00 AM,11.2915
47222,Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU Apr 2026 Index Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,11.2038
47223,Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU Apr 2026 Index Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,11.2038
47220,Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU Apr 2026 Index Fund-Reg(G),7/22/2024 12:00:00 AM,11.1596
47221,Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU Apr 2026 Index Fund-Reg(IDCW),7/22/2024 12:00:00 AM,11.1605
46964,Aditya Birla SL CRISIL IBX Gilt - April 2026 Index Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,11.4024
46965,Aditya Birla SL CRISIL IBX Gilt - April 2026 Index Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,11.4032
46891,Aditya Birla SL CRISIL IBX Gilt - April 2026 Index Fund-Reg(G),7/22/2024 12:00:00 AM,11.3697
46963,Aditya Birla SL CRISIL IBX Gilt - April 2026 Index Fund-Reg(IDCW),7/22/2024 12:00:00 AM,11.3702
47759,Aditya Birla SL CRISIL IBX Gilt Apr 2028 Index Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,11.0358
47760,Aditya Birla SL CRISIL IBX Gilt Apr 2028 Index Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,11.0386
47757,Aditya Birla SL CRISIL IBX Gilt Apr 2028 Index Fund-Reg(G),7/22/2024 12:00:00 AM,10.9953
47758,Aditya Birla SL CRISIL IBX Gilt Apr 2028 Index Fund-Reg(IDCW),7/22/2024 12:00:00 AM,10.9949
47047,Aditya Birla SL CRISIL IBX Gilt Apr 2029 Index Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,11.5744
47048,Aditya Birla SL CRISIL IBX Gilt Apr 2029 Index Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,10.5338
46950,Aditya Birla SL CRISIL IBX Gilt Apr 2029 Index Fund-Reg(G),7/22/2024 12:00:00 AM,11.5417
47046,Aditya Birla SL CRISIL IBX Gilt Apr 2029 Index Fund-Reg(IDCW),7/22/2024 12:00:00 AM,10.4839
48413,Aditya Birla SL CRISIL IBX Gilt April 2033 Index Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,10.5357
48414,Aditya Birla SL CRISIL IBX Gilt April 2033 Index Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,10.5355
48411,Aditya Birla SL CRISIL IBX Gilt April 2033 Index Fund-Reg(G),7/22/2024 12:00:00 AM,10.5201
48412,Aditya Birla SL CRISIL IBX Gilt April 2033 Index Fund-Reg(IDCW),7/22/2024 12:00:00 AM,10.5201
48867,Aditya Birla SL CRISIL IBX Gilt June 2027 Index Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,10.1264
48868,Aditya Birla SL CRISIL IBX Gilt June 2027 Index Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,10.1264
48450,Aditya Birla SL CRISIL IBX Gilt June 2027 Index Fund-Reg(G),7/22/2024 12:00:00 AM,10.1224
48866,Aditya Birla SL CRISIL IBX Gilt June 2027 Index Fund-Reg(IDCW),7/22/2024 12:00:00 AM,10.1224
47594,Aditya Birla SL CRISIL IBX SDL Jun 2032 Index Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,11.3076
47595,Aditya Birla SL CRISIL IBX SDL Jun 2032 Index Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,11.3095
47592,Aditya Birla SL CRISIL IBX SDL Jun 2032 Index Fund-Reg(G),7/22/2024 12:00:00 AM,11.2525
47593,Aditya Birla SL CRISIL IBX SDL Jun 2032 Index Fund-Reg(IDCW),7/22/2024 12:00:00 AM,11.2527
47722,Aditya Birla SL CRISIL Liquid Overnight ETF,7/22/2024 12:00:00 AM,1000
482,Aditya Birla SL Digital India Fund(G),7/22/2024 12:00:00 AM,176.46
18286,Aditya Birla SL Digital India Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,196.48
481,Aditya Birla SL Digital India Fund(IDCW),7/22/2024 12:00:00 AM,46.67
35424,Aditya Birla SL Digital India Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,62.8
37939,Aditya Birla SL Digital India Fund(IDCW-Reinv),7/22/2024 12:00:00 AM,46.67
19610,Aditya Birla SL Digital India Fund(IDCW-Reinv)-Direct Plan,7/22/2024 12:00:00 AM,62.8
301,Aditya Birla SL Dividend Yield Fund(G),7/22/2024 12:00:00 AM,461.16
18238,Aditya Birla SL Dividend Yield Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,502.45
300,Aditya Birla SL Dividend Yield Fund(IDCW),7/22/2024 12:00:00 AM,29.4
18237,Aditya Birla SL Dividend Yield Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,52.9
14637,Aditya Birla SL Dividend Yield Fund(IDCW-Reinv),7/22/2024 12:00:00 AM,29.4
20051,Aditya Birla SL Dividend Yield Fund(IDCW-Reinv)-Direct Plan,7/22/2024 12:00:00 AM,52.9
18239,Aditya Birla SL Dynamic Bond Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,45.5334
31836,Aditya Birla SL Dynamic Bond Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,12.9958
43450,Aditya Birla SL Dynamic Bond Fund(IDCW-Reinv)-Direct Plan,7/22/2024 12:00:00 AM,12.9958
35423,Aditya Birla SL Dynamic Bond Fund(M-IDCW Reinv)-Direct Plan,7/22/2024 12:00:00 AM,10.9048
18240,Aditya Birla SL Dynamic Bond Fund(M-IDCW)-Direct Plan,7/22/2024 12:00:00 AM,10.9048
35421,Aditya Birla SL Dynamic Bond Fund(Q-IDCW Reinv)-Direct Plan,7/22/2024 12:00:00 AM,10.7546
18241,Aditya Birla SL Dynamic Bond Fund(Q-IDCW)-Direct Plan,7/22/2024 12:00:00 AM,10.7546
7767,Aditya Birla SL Dynamic Bond Fund-DAP(G),7/22/2024 12:00:00 AM,29.5152
302,Aditya Birla SL Dynamic Bond Fund-Reg(G),7/22/2024 12:00:00 AM,42.6816
31313,Aditya Birla SL Dynamic Bond Fund-Reg(IDCW),7/22/2024 12:00:00 AM,12.0713
37151,Aditya Birla SL Dynamic Bond Fund-Reg(M-IDCW Reinv),7/22/2024 12:00:00 AM,10.5347
7482,Aditya Birla SL Dynamic Bond Fund-Reg(M-IDCW),7/22/2024 12:00:00 AM,10.5347
43451,Aditya Birla SL Dynamic Bond Fund-Reg(Q-IDCW Reinv),7/22/2024 12:00:00 AM,10.5685
303,Aditya Birla SL Dynamic Bond Fund-Reg(Q-IDCW),7/22/2024 12:00:00 AM,10.5685
4637,Aditya Birla SL ELSS Tax Saver Fund(G),7/22/2024 12:00:00 AM,58.95
18299,Aditya Birla SL ELSS Tax Saver Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,65.32
14121,Aditya Birla SL ELSS Tax Saver Fund(G)-LSP,7/22/2024 12:00:00 AM,58.95
486,Aditya Birla SL ELSS Tax Saver Fund(IDCW Reinvest),7/22/2024 12:00:00 AM,207.13
14122,Aditya Birla SL ELSS Tax Saver Fund(IDCW),7/22/2024 12:00:00 AM,207.13
35417,Aditya Birla SL ELSS Tax Saver Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,450.47
18298,Aditya Birla SL ELSS Tax Saver Fund(IDCW-Reinv)-Direct Plan,7/22/2024 12:00:00 AM,450.47
277,Aditya Birla SL Equity Advantage Fund(G),7/22/2024 12:00:00 AM,896.41
18220,Aditya Birla SL Equity Advantage Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,989.23
276,Aditya Birla SL Equity Advantage Fund(IDCW),7/22/2024 12:00:00 AM,149.21
35425,Aditya Birla SL Equity Advantage Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,227.52
32704,Aditya Birla SL Equity Advantage Fund(IDCW-Reinv),7/22/2024 12:00:00 AM,149.21
18219,Aditya Birla SL Equity Advantage Fund(IDCW-Reinv)-Direct Plan,7/22/2024 12:00:00 AM,227.52
430,Aditya Birla SL Equity Hybrid '95 Fund(G),7/22/2024 12:00:00 AM,1472.67
18218,Aditya Birla SL Equity Hybrid '95 Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,1636.89
20909,Aditya Birla SL Equity Hybrid '95 Fund(IDCW),7/22/2024 12:00:00 AM,185.89
35468,Aditya Birla SL Equity Hybrid '95 Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,315.2
429,Aditya Birla SL Equity Hybrid '95 Fund(IDCW-Reinv),7/22/2024 12:00:00 AM,185.89
18217,Aditya Birla SL Equity Hybrid '95 Fund(IDCW-Reinv)-Direct Plan,7/22/2024 12:00:00 AM,315.2
31175,Aditya Birla SL Equity Savings Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,22.65
31176,Aditya Birla SL Equity Savings Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,15.59
35440,Aditya Birla SL Equity Savings Fund(IDCW-Reinv)-Direct Plan,7/22/2024 12:00:00 AM,15.59
30757,Aditya Birla SL Equity Savings Fund-Reg(G),7/22/2024 12:00:00 AM,20.55
31174,Aditya Birla SL Equity Savings Fund-Reg(IDCW),7/22/2024 12:00:00 AM,13.31
36701,Aditya Birla SL Equity Savings Fund-Reg(IDCW-Reinv),7/22/2024 12:00:00 AM,13.31
45191,Aditya Birla SL ESG Integration Strategy Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,18.22
45192,Aditya Birla SL ESG Integration Strategy Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,18.23
45240,Aditya Birla SL ESG Integration Strategy Fund(IDCW-Reinv)-Direct Plan,7/22/2024 12:00:00 AM,18.23
44736,Aditya Birla SL ESG Integration Strategy Fund-Reg(G),7/22/2024 12:00:00 AM,17.23
45190,Aditya Birla SL ESG Integration Strategy Fund-Reg(IDCW),7/22/2024 12:00:00 AM,17.23
45239,Aditya Birla SL ESG Integration Strategy Fund-Reg(IDCW-Reinv),7/22/2024 12:00:00 AM,17.23
8303,Aditya Birla SL Financial Planning FOF Aggressive Plan(G),7/22/2024 12:00:00 AM,51.0704
19230,Aditya Birla SL Financial Planning FOF Aggressive Plan(G)-Direct Plan,7/22/2024 12:00:00 AM,55.6783
37013,Aditya Birla SL Financial Planning FOF Aggressive Plan(IDCW),7/22/2024 12:00:00 AM,46.7476
36705,Aditya Birla SL Financial Planning FOF Aggressive Plan(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,50.9911
8304,Aditya Birla SL Financial Planning FOF Aggressive Plan(IDCW-Payout),7/22/2024 12:00:00 AM,46.7476
19231,Aditya Birla SL Financial Planning FOF Aggressive Plan(IDCW-Payout)-Direct Plan,7/22/2024 12:00:00 AM,50.9911
8297,Aditya Birla SL Financial Planning FOF Conservative Plan(G),7/22/2024 12:00:00 AM,31.9338
19226,Aditya Birla SL Financial Planning FOF Conservative Plan(G)-Direct Plan,7/22/2024 12:00:00 AM,33.8139
44308,Aditya Birla SL Financial Planning FOF Conservative Plan(IDCW),7/22/2024 12:00:00 AM,29.053
36703,Aditya Birla SL Financial Planning FOF Conservative Plan(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,22.9589
8298,Aditya Birla SL Financial Planning FOF Conservative Plan(IDCW-Payout),7/22/2024 12:00:00 AM,29.053
19227,Aditya Birla SL Financial Planning FOF Conservative Plan(IDCW-Payout)-Direct Plan,7/22/2024 12:00:00 AM,22.9589
8299,Aditya Birla SL Financial Planning FOF Moderate Plan(G),7/22/2024 12:00:00 AM,39.7703
19228,Aditya Birla SL Financial Planning FOF Moderate Plan(G)-Direct Plan,7/22/2024 12:00:00 AM,42.3054
43452,Aditya Birla SL Financial Planning FOF Moderate Plan(IDCW),7/22/2024 12:00:00 AM,35.6712
36704,Aditya Birla SL Financial Planning FOF Moderate Plan(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,38.3593
8300,Aditya Birla SL Financial Planning FOF Moderate Plan(IDCW-Payout),7/22/2024 12:00:00 AM,35.6712
19229,Aditya Birla SL Financial Planning FOF Moderate Plan(IDCW-Payout)-Direct Plan,7/22/2024 12:00:00 AM,38.3593
445,Aditya Birla SL Flexi Cap Fund(G),7/22/2024 12:00:00 AM,1701.92
18244,Aditya Birla SL Flexi Cap Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,1887.2
444,Aditya Birla SL Flexi Cap Fund(IDCW),7/22/2024 12:00:00 AM,167.51
18243,Aditya Birla SL Flexi Cap Fund(IDCW)-Direct Plan,7/22/2024 12:00:00 AM,234.74
35149,Aditya Birla SL Flexi Cap Fund(IDCW-Reinv),7/22/2024 12:00:00 AM,167.51
35438,Aditya Birla SL Flexi Cap Fund(IDCW-Reinv)-Direct Plan,7/22/2024 12:00:00 AM,234.74
13093,Aditya Birla SL Floating Rate Fund(DD-IDCW),7/22/2024 12:00:00 AM,100.5942
18245,Aditya Birla SL Floating Rate Fund(DD-IDCW)-Direct Plan,7/22/2024 12:00:00 AM,100.5942
7727,Aditya Birla SL Floating Rate Fund(G),7/22/2024 12:00:00 AM,323.0845
18246,Aditya Birla SL Floating Rate Fund(G)-Direct Plan,7/22/2024 12:00:00 AM,331.387
